order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,reordered,department_id,department,product_name
2867332,21516,46,1,21,8.0,24,1,1,4,produce,fresh fruits
2945193,134516,52,6,20,6.0,129,6,0,1,frozen,frozen appetizers sides
753331,157869,23,0,18,8.0,107,4,1,19,snacks,chips pretzels
703811,34827,3,1,23,5.0,84,15,1,16,dairy eggs,milk
215940,163518,5,3,15,21.0,24,5,0,4,produce,fresh fruits
1051601,121586,8,6,22,30.0,67,32,0,20,deli,fresh dips tapenades
1382022,152395,2,3,17,21.0,123,6,1,4,produce,packaged vegetables fruits
2481839,162247,1,6,9,0.0,86,1,0,16,dairy eggs,eggs
2367683,125837,3,2,14,13.0,61,5,1,19,snacks,cookies cakes
1974756,85358,16,1,8,18.0,107,1,1,19,snacks,chips pretzels
2706238,108687,1,0,10,0.0,13,10,0,20,deli,prepared meals
864187,204944,5,0,14,14.0,26,4,1,7,beverages,coffee
634654,196873,2,4,9,18.0,24,1,1,4,produce,fresh fruits
1366211,37337,2,3,15,22.0,123,6,0,4,produce,packaged vegetables fruits
827710,180819,8,0,20,11.0,22,1,0,11,personal care,hair care
2121143,164927,6,4,7,4.0,69,8,0,15,canned goods,soup broth bouillon
201470,136161,20,1,15,7.0,81,13,1,15,canned goods,canned jarred vegetables
268134,122827,13,4,18,11.0,34,2,1,1,frozen,frozen meat seafood
117660,115612,13,1,14,12.0,112,9,0,3,bakery,bread
273540,84013,4,6,7,12.0,120,10,1,16,dairy eggs,yogurt
132310,37437,23,2,19,8.0,123,7,1,4,produce,packaged vegetables fruits
1438591,16820,6,0,13,14.0,21,10,1,16,dairy eggs,packaged cheese
1002714,153133,7,3,18,5.0,24,8,1,4,produce,fresh fruits
1763130,30479,9,4,11,9.0,24,1,1,4,produce,fresh fruits
1923175,97338,3,3,9,30.0,120,11,0,16,dairy eggs,yogurt
3309726,153893,58,6,13,4.0,59,6,1,15,canned goods,canned meals beans
63137,106458,1,2,15,0.0,59,2,0,15,canned goods,canned meals beans
3029550,121372,10,3,19,9.0,79,8,1,1,frozen,frozen pizza
1062138,67666,15,2,8,3.0,123,11,1,4,produce,packaged vegetables fruits
538896,93247,3,3,15,11.0,121,3,0,14,breakfast,cereal
2392633,28185,22,4,10,8.0,66,24,0,6,international,asian foods
740400,41909,28,3,14,17.0,13,9,1,20,deli,prepared meals
544092,124669,8,0,15,30.0,112,1,1,3,bakery,bread
555782,123751,95,5,16,2.0,83,10,1,4,produce,fresh vegetables
321726,69878,2,5,10,8.0,69,11,0,15,canned goods,soup broth bouillon
251160,42696,8,3,13,30.0,24,2,1,4,produce,fresh fruits
2177618,56220,2,3,11,14.0,84,2,0,16,dairy eggs,milk
2257419,77417,33,1,14,9.0,17,11,0,13,pantry,baking ingredients
2642567,157585,2,4,16,8.0,38,12,1,1,frozen,frozen meals
1892598,112307,34,6,10,28.0,116,1,1,1,frozen,frozen produce
432622,41510,3,5,17,14.0,16,12,0,4,produce,fresh herbs
3027974,139223,3,3,18,30.0,36,10,0,16,dairy eggs,butter
3020384,110154,4,4,10,8.0,107,7,1,19,snacks,chips pretzels
631294,182662,1,2,13,0.0,24,4,0,4,produce,fresh fruits
3215135,135420,15,6,16,21.0,123,16,1,4,produce,packaged vegetables fruits
148737,30694,21,1,15,5.0,99,5,0,15,canned goods,canned fruit applesauce
1926929,185835,8,3,16,7.0,83,3,0,4,produce,fresh vegetables
1007056,40093,7,4,10,5.0,107,8,1,19,snacks,chips pretzels
2259376,198253,16,1,20,4.0,24,4,1,4,produce,fresh fruits
1519509,45236,45,4,10,3.0,120,11,0,16,dairy eggs,yogurt
880863,31632,25,0,22,6.0,86,15,1,16,dairy eggs,eggs
1767836,126398,3,2,13,4.0,61,9,0,19,snacks,cookies cakes
1866397,100714,28,3,11,8.0,83,6,1,4,produce,fresh vegetables
2198831,9417,17,0,15,30.0,24,5,0,4,produce,fresh fruits
524284,192740,8,2,8,30.0,129,7,1,1,frozen,frozen appetizers sides
2285648,111891,46,1,7,14.0,74,7,1,17,household,dish detergents
2854132,35011,10,4,16,16.0,3,17,1,19,snacks,energy granola bars
656171,64531,59,2,7,7.0,50,11,1,19,snacks,fruit vegetable snacks
2008748,71406,21,1,12,14.0,114,2,0,17,household,cleaning products
494263,99564,10,5,19,7.0,67,3,1,20,deli,fresh dips tapenades
515035,70095,4,2,15,7.0,129,3,1,1,frozen,frozen appetizers sides
3034255,202715,31,5,7,5.0,81,3,0,15,canned goods,canned jarred vegetables
1203229,177043,1,2,9,0.0,31,1,0,7,beverages,refrigerated
1483555,187550,22,3,9,4.0,83,9,1,4,produce,fresh vegetables
1907105,194051,43,2,21,0.0,77,1,1,7,beverages,soft drinks
38236,194650,12,1,13,11.0,117,13,1,19,snacks,nuts seeds dried fruit
778489,28499,12,1,17,15.0,21,24,1,16,dairy eggs,packaged cheese
2722057,165930,31,5,10,7.0,120,6,1,16,dairy eggs,yogurt
494647,140292,71,1,9,1.0,108,5,1,16,dairy eggs,other creams cheeses
1812395,79272,6,1,16,8.0,32,4,0,4,produce,packaged produce
256494,49574,37,1,7,7.0,24,8,1,4,produce,fresh fruits
2476405,161495,24,1,10,7.0,3,7,1,19,snacks,energy granola bars
2989270,202376,15,1,17,7.0,37,18,0,1,frozen,ice cream ice
1472460,92138,23,0,17,4.0,83,5,1,4,produce,fresh vegetables
891872,84007,24,1,8,8.0,24,12,1,4,produce,fresh fruits
3320472,78686,24,1,14,7.0,17,30,1,13,pantry,baking ingredients
3175750,116433,14,1,10,7.0,54,4,1,17,household,paper goods
2452073,58021,9,1,8,20.0,59,9,0,15,canned goods,canned meals beans
782277,70783,30,3,10,8.0,31,3,1,7,beverages,refrigerated
2905101,197104,4,2,15,10.0,123,1,0,4,produce,packaged vegetables fruits
1122962,102813,7,5,10,22.0,19,11,0,13,pantry,oils vinegars
227827,134248,15,4,7,3.0,86,2,1,16,dairy eggs,eggs
1654590,111900,3,3,9,9.0,83,2,0,4,produce,fresh vegetables
1306698,159081,4,2,15,7.0,21,33,0,16,dairy eggs,packaged cheese
1395323,183485,13,4,10,30.0,107,8,1,19,snacks,chips pretzels
2023189,41637,42,0,16,3.0,83,5,1,4,produce,fresh vegetables
1151639,27916,3,0,12,6.0,32,1,0,4,produce,packaged produce
2119142,54330,73,3,13,2.0,130,5,1,14,breakfast,hot cereal pancake mixes
3410725,132022,43,3,21,1.0,24,2,1,4,produce,fresh fruits
582886,188394,9,4,11,30.0,50,4,1,19,snacks,fruit vegetable snacks
940974,167698,7,1,9,6.0,120,4,1,16,dairy eggs,yogurt
879456,61406,14,0,11,30.0,31,1,1,7,beverages,refrigerated
711039,131036,3,2,14,18.0,107,27,0,19,snacks,chips pretzels
500297,21987,16,3,22,5.0,31,2,1,7,beverages,refrigerated
2058562,135276,6,1,8,7.0,94,26,0,7,beverages,tea
3062839,74840,48,1,19,2.0,123,8,1,4,produce,packaged vegetables fruits
2934534,142122,36,5,10,4.0,121,8,1,14,breakfast,cereal
1464589,185723,17,4,22,17.0,59,7,1,15,canned goods,canned meals beans
1297975,94874,5,3,9,6.0,24,1,0,4,produce,fresh fruits
895385,34712,1,5,8,0.0,21,8,0,16,dairy eggs,packaged cheese
3317676,26019,41,1,15,9.0,79,5,1,1,frozen,frozen pizza
1225786,37152,44,2,12,7.0,83,6,1,4,produce,fresh vegetables
2851853,35195,26,3,12,8.0,24,2,0,4,produce,fresh fruits
1330035,88648,48,4,8,4.0,120,1,0,16,dairy eggs,yogurt
2898473,130324,16,3,10,14.0,102,6,0,18,babies,baby bath body care
782233,81505,24,1,11,3.0,26,10,1,7,beverages,coffee
2945448,150757,6,4,13,3.0,123,1,1,4,produce,packaged vegetables fruits
585528,46877,13,5,15,3.0,115,6,1,7,beverages,water seltzer sparkling water
446748,140898,22,4,12,6.0,24,3,1,4,produce,fresh fruits
2719506,143022,10,0,12,23.0,104,22,1,13,pantry,spices seasonings
3412428,202813,13,1,14,30.0,123,17,0,4,produce,packaged vegetables fruits
2593622,88274,4,5,15,2.0,58,6,0,1,frozen,frozen breads doughs
1530065,101462,15,4,20,2.0,78,2,0,19,snacks,crackers
206122,96502,32,6,14,7.0,38,6,1,1,frozen,frozen meals
11181,145678,8,5,12,3.0,83,5,0,4,produce,fresh vegetables
2376288,31789,50,6,9,8.0,82,30,1,18,babies,baby accessories
2547329,12514,55,5,14,6.0,107,12,1,19,snacks,chips pretzels
3306500,147279,9,4,9,30.0,131,7,1,9,dry goods pasta,dry pasta
3001487,65407,5,1,10,30.0,120,21,1,16,dairy eggs,yogurt
1400899,4694,80,2,16,1.0,78,25,1,19,snacks,crackers
2612540,136155,6,5,11,4.0,36,8,1,16,dairy eggs,butter
2606915,100990,37,4,13,4.0,123,1,1,4,produce,packaged vegetables fruits
1139416,197277,7,6,13,30.0,24,6,0,4,produce,fresh fruits
730088,123623,22,3,14,8.0,63,34,1,9,dry goods pasta,grains rice dried goods
1098655,125739,5,0,19,14.0,21,1,1,16,dairy eggs,packaged cheese
1092944,194897,10,6,15,13.0,83,10,0,4,produce,fresh vegetables
317302,146192,1,5,16,0.0,115,11,0,7,beverages,water seltzer sparkling water
1484198,22909,19,5,15,11.0,83,6,1,4,produce,fresh vegetables
3346324,109233,16,0,14,4.0,87,10,0,17,household,more household
2287157,34809,2,6,7,9.0,24,1,0,4,produce,fresh fruits
3158095,96724,19,5,13,2.0,31,1,0,7,beverages,refrigerated
3200467,169890,12,1,9,8.0,106,13,0,12,meat seafood,hot dogs bacon sausage
541838,101005,4,2,11,11.0,92,3,1,18,babies,baby food formula
492413,150317,2,3,13,8.0,121,5,0,14,breakfast,cereal
728910,167864,60,5,10,7.0,120,22,0,16,dairy eggs,yogurt
2937028,60210,89,3,19,3.0,123,4,1,4,produce,packaged vegetables fruits
2640117,151995,11,4,12,16.0,24,4,1,4,produce,fresh fruits
2675888,122242,8,1,7,15.0,24,3,1,4,produce,fresh fruits
1542602,90216,48,5,12,2.0,83,29,1,4,produce,fresh vegetables
1370667,51572,40,5,13,7.0,130,5,0,14,breakfast,hot cereal pancake mixes
2527441,141394,9,2,6,14.0,120,4,0,16,dairy eggs,yogurt
1180078,56125,45,3,16,7.0,112,8,1,3,bakery,bread
2163760,57758,26,4,10,3.0,21,2,1,16,dairy eggs,packaged cheese
3100311,75521,12,2,14,3.0,16,2,0,4,produce,fresh herbs
248622,167907,14,4,11,30.0,112,1,1,3,bakery,bread
895645,129140,14,1,14,30.0,106,6,1,12,meat seafood,hot dogs bacon sausage
592306,162205,34,6,16,10.0,13,3,1,20,deli,prepared meals
223877,84392,15,1,17,17.0,21,1,1,16,dairy eggs,packaged cheese
649472,198188,16,6,9,24.0,83,1,1,4,produce,fresh vegetables
508844,170142,1,5,19,0.0,121,3,0,14,breakfast,cereal
2994352,157506,21,1,12,5.0,45,3,1,19,snacks,candy chocolate
2087963,141334,5,4,7,8.0,83,12,0,4,produce,fresh vegetables
1384348,92999,5,6,11,9.0,83,11,1,4,produce,fresh vegetables
2221178,50079,8,0,20,13.0,78,4,1,19,snacks,crackers
585759,173963,27,3,13,3.0,83,7,1,4,produce,fresh vegetables
294053,156716,10,3,19,6.0,78,7,1,19,snacks,crackers
2299589,75709,15,0,10,30.0,84,21,1,16,dairy eggs,milk
583044,139240,7,0,9,14.0,83,1,0,4,produce,fresh vegetables
957106,138115,21,4,22,12.0,98,2,0,7,beverages,juice nectars
245481,16802,26,6,9,10.0,54,8,1,17,household,paper goods
1285622,184917,55,6,13,3.0,50,5,1,19,snacks,fruit vegetable snacks
1776062,187952,37,0,12,4.0,91,4,1,16,dairy eggs,soy lactosefree
3144169,183838,47,5,21,12.0,121,11,1,14,breakfast,cereal
2979418,172315,9,2,10,14.0,21,5,0,16,dairy eggs,packaged cheese
500579,34261,12,2,11,11.0,83,9,1,4,produce,fresh vegetables
648488,92918,19,6,15,8.0,120,1,1,16,dairy eggs,yogurt
3334556,137209,9,5,19,2.0,83,7,1,4,produce,fresh vegetables
3170235,100700,21,1,20,8.0,32,1,1,4,produce,packaged produce
2371959,188999,25,4,17,6.0,120,1,1,16,dairy eggs,yogurt
2227797,166928,3,3,16,30.0,83,5,1,4,produce,fresh vegetables
1625322,58636,3,1,21,30.0,122,19,0,12,meat seafood,meat counter
2159281,169188,97,0,13,9.0,129,5,1,1,frozen,frozen appetizers sides
2175922,87567,10,4,14,30.0,98,1,0,7,beverages,juice nectars
1492534,164964,11,3,11,6.0,104,1,0,13,pantry,spices seasonings
2500444,8097,1,2,17,0.0,91,1,0,16,dairy eggs,soy lactosefree
652813,180436,3,5,9,4.0,24,10,1,4,produce,fresh fruits
2356142,40319,15,0,13,30.0,83,6,0,4,produce,fresh vegetables
1336155,12514,22,1,8,7.0,83,10,1,4,produce,fresh vegetables
2667733,175879,56,4,11,6.0,42,11,1,1,frozen,frozen vegan vegetarian
645406,188688,14,4,11,1.0,38,16,0,1,frozen,frozen meals
1304696,31632,40,2,20,16.0,83,11,1,4,produce,fresh vegetables
2952000,129790,18,0,12,7.0,83,4,1,4,produce,fresh vegetables
33959,32270,31,2,9,8.0,83,6,0,4,produce,fresh vegetables
2338871,89148,34,0,18,7.0,107,12,1,19,snacks,chips pretzels
147481,73168,19,5,16,6.0,83,2,1,4,produce,fresh vegetables
1589237,98562,8,4,21,10.0,4,3,1,9,dry goods pasta,instant foods
367354,51507,25,3,23,11.0,50,12,0,19,snacks,fruit vegetable snacks
830289,124146,32,5,22,30.0,37,17,0,1,frozen,ice cream ice
180163,22678,11,0,15,3.0,16,3,0,4,produce,fresh herbs
821372,115620,6,2,16,3.0,45,8,1,19,snacks,candy chocolate
2147701,58919,11,6,14,6.0,21,24,0,16,dairy eggs,packaged cheese
2219686,157745,9,6,22,30.0,49,14,0,12,meat seafood,packaged poultry
1342090,126436,9,0,11,7.0,84,2,1,16,dairy eggs,milk
313086,121087,88,3,11,7.0,123,11,1,4,produce,packaged vegetables fruits
383531,138570,15,5,13,30.0,98,14,1,7,beverages,juice nectars
1268863,23288,1,2,11,0.0,83,28,0,4,produce,fresh vegetables
3272488,169119,21,5,7,5.0,83,10,1,4,produce,fresh vegetables
2484491,20904,5,0,12,30.0,83,9,1,4,produce,fresh vegetables
570854,38209,7,2,15,3.0,123,1,1,4,produce,packaged vegetables fruits
1512186,143686,22,0,16,7.0,107,5,1,19,snacks,chips pretzels
3306899,94618,14,1,10,11.0,83,6,1,4,produce,fresh vegetables
756761,114049,4,1,21,11.0,115,16,0,7,beverages,water seltzer sparkling water
2910578,22478,3,4,23,6.0,77,2,1,7,beverages,soft drinks
680317,182306,20,5,17,6.0,24,7,1,4,produce,fresh fruits
803772,88104,4,4,17,4.0,69,7,0,15,canned goods,soup broth bouillon
74586,77145,17,3,20,0.0,45,1,0,19,snacks,candy chocolate
1632584,74159,11,0,16,8.0,83,2,0,4,produce,fresh vegetables
5223,105219,51,0,13,11.0,93,22,1,3,bakery,breakfast bakery
434566,20091,42,4,8,8.0,53,3,1,16,dairy eggs,cream
1293913,171961,3,2,9,7.0,115,16,0,7,beverages,water seltzer sparkling water
2711196,107404,16,1,8,7.0,117,2,1,19,snacks,nuts seeds dried fruit
2133833,106455,2,6,19,7.0,24,24,1,4,produce,fresh fruits
3079919,74521,39,0,17,8.0,99,25,1,15,canned goods,canned fruit applesauce
2267251,60406,63,2,15,6.0,54,15,1,17,household,paper goods
55671,41539,9,5,12,9.0,24,11,1,4,produce,fresh fruits
835556,89750,16,4,11,2.0,83,3,0,4,produce,fresh vegetables
1643129,14164,7,2,17,30.0,21,10,1,16,dairy eggs,packaged cheese
3027353,170295,29,1,14,3.0,101,3,0,17,household,air fresheners candles
2756931,104410,1,6,21,0.0,26,3,0,7,beverages,coffee
2328224,167896,6,0,18,24.0,83,5,1,4,produce,fresh vegetables
464466,186981,65,1,8,5.0,53,15,1,16,dairy eggs,cream
435247,164271,31,5,14,2.0,32,4,1,4,produce,packaged produce
1585876,100936,17,4,19,14.0,78,14,1,19,snacks,crackers
2923118,67319,10,5,14,13.0,24,14,1,4,produce,fresh fruits
438013,10875,34,1,12,13.0,72,5,1,13,pantry,condiments
2781159,175939,22,5,15,2.0,37,2,1,1,frozen,ice cream ice
1863440,109254,11,0,11,7.0,14,25,1,20,deli,tofu meat alternatives
2689152,17795,1,1,20,0.0,86,19,0,16,dairy eggs,eggs
2537194,197129,24,5,13,10.0,75,8,1,17,household,laundry
2718868,61521,2,3,15,18.0,24,4,0,4,produce,fresh fruits
606836,181059,9,5,18,8.0,69,14,1,15,canned goods,soup broth bouillon
814433,1776,37,5,10,7.0,21,5,1,16,dairy eggs,packaged cheese
1934049,176052,28,1,17,6.0,107,7,1,19,snacks,chips pretzels
3094539,185385,2,1,16,8.0,59,23,0,15,canned goods,canned meals beans
298169,127330,9,0,8,4.0,86,13,1,16,dairy eggs,eggs
1040628,158481,29,3,19,4.0,35,8,1,12,meat seafood,poultry counter
2317351,29323,20,0,14,6.0,92,7,1,18,babies,baby food formula
2238699,79003,10,6,14,6.0,49,1,0,12,meat seafood,packaged poultry
2124985,89550,1,0,16,0.0,24,3,0,4,produce,fresh fruits
457043,185834,5,2,11,30.0,115,11,0,7,beverages,water seltzer sparkling water
2194814,135574,14,6,11,8.0,83,8,1,4,produce,fresh vegetables
3375347,177963,4,4,6,12.0,83,5,0,4,produce,fresh vegetables
2229167,131106,2,5,8,22.0,123,7,0,4,produce,packaged vegetables fruits
1266345,18327,1,1,17,0.0,83,15,0,4,produce,fresh vegetables
850765,30581,6,0,19,30.0,37,3,0,1,frozen,ice cream ice
321564,154254,39,2,19,1.0,96,2,1,20,deli,lunch meat
2177893,4208,10,2,16,6.0,24,14,1,4,produce,fresh fruits
2928109,34565,22,3,11,5.0,115,9,1,7,beverages,water seltzer sparkling water
527148,176768,12,0,11,29.0,83,13,0,4,produce,fresh vegetables
740330,161928,38,4,7,1.0,98,2,1,7,beverages,juice nectars
1986546,30811,3,0,16,7.0,83,25,0,4,produce,fresh vegetables
2267849,44077,4,1,13,10.0,83,8,0,4,produce,fresh vegetables
2811184,45556,1,4,1,0.0,78,8,0,19,snacks,crackers
864902,80706,9,2,14,4.0,83,13,1,4,produce,fresh vegetables
2527938,111027,16,6,22,12.0,25,3,1,11,personal care,soap
3176648,89603,25,2,13,2.0,24,7,1,4,produce,fresh fruits
976271,39869,7,2,18,6.0,83,10,0,4,produce,fresh vegetables
310110,185548,8,1,9,4.0,83,12,0,4,produce,fresh vegetables
192902,159677,13,2,20,19.0,37,3,0,1,frozen,ice cream ice
2965438,33663,16,0,14,5.0,24,5,0,4,produce,fresh fruits
921122,6768,5,1,7,21.0,24,7,1,4,produce,fresh fruits
3336521,94219,7,5,11,3.0,117,3,0,19,snacks,nuts seeds dried fruit
3164302,62595,26,0,15,7.0,86,1,1,16,dairy eggs,eggs
2481910,189280,23,0,12,18.0,36,2,1,16,dairy eggs,butter
181572,155715,15,5,23,8.0,92,5,0,18,babies,baby food formula
2756049,190447,15,3,9,16.0,67,5,1,20,deli,fresh dips tapenades
2419672,111646,99,6,13,3.0,16,6,1,4,produce,fresh herbs
2421795,161170,5,1,15,10.0,117,1,1,19,snacks,nuts seeds dried fruit
1565678,30846,26,3,13,14.0,115,12,1,7,beverages,water seltzer sparkling water
2238379,159291,1,6,15,0.0,67,2,0,20,deli,fresh dips tapenades
991805,67644,19,0,12,10.0,120,1,1,16,dairy eggs,yogurt
1276984,73962,4,4,13,17.0,84,2,1,16,dairy eggs,milk
1352498,55284,27,3,11,6.0,95,17,0,15,canned goods,canned meat seafood
2277642,89782,66,0,14,3.0,96,7,1,20,deli,lunch meat
850322,102494,18,2,14,5.0,115,2,1,7,beverages,water seltzer sparkling water
2896680,52241,3,6,17,30.0,24,4,1,4,produce,fresh fruits
3054018,199399,4,0,17,7.0,24,2,1,4,produce,fresh fruits
1146439,71431,7,6,17,6.0,123,5,1,4,produce,packaged vegetables fruits
2828648,78254,13,0,14,7.0,24,11,1,4,produce,fresh fruits
1310977,14420,5,4,16,19.0,37,11,0,1,frozen,ice cream ice
969871,152052,1,5,16,0.0,130,5,0,14,breakfast,hot cereal pancake mixes
1865847,33142,64,6,12,3.0,78,38,1,19,snacks,crackers
603049,112801,6,3,13,4.0,83,9,0,4,produce,fresh vegetables
2940224,6801,19,2,9,4.0,14,6,1,20,deli,tofu meat alternatives
763168,77356,6,1,15,30.0,16,11,0,4,produce,fresh herbs
138191,182798,11,3,17,7.0,52,7,1,1,frozen,frozen breakfast
953073,43082,3,2,17,23.0,116,7,0,1,frozen,frozen produce
1606797,6906,5,5,12,19.0,84,2,0,16,dairy eggs,milk
2917471,145649,17,5,21,11.0,24,2,0,4,produce,fresh fruits
